age,two_year_recid,c_charge_degree,race,sex,priors_count,length_of_stay,score
34,1,M,African-American,Male,3,2,1
37,0,M,African-American,Male,3,1,1
29,1,M,African-American,Male,1,0,1
41,0,F,Other,Male,1,2,1
55,0,F,Other,Male,0,0,1
30,0,M,African-American,Male,4,1,1
52,0,F,Other,Male,0,1,1
31,0,F,African-American,Male,3,0,1
51,0,M,African-American,Male,0,1,1
38,0,M,African-American,Male,4,0,1
26,0,F,African-American,Male,3,1,1
24,0,M,Other,Male,0,0,1
23,1,M,African-American,Male,3,0,1
45,0,F,African-American,Male,3,36,0
23,0,F,Other,Male,2,35,1
34,0,F,Other,Male,0,116,1
24,1,F,African-American,Male,3,0,1
52,0,F,African-American,Male,0,1,1
37,1,M,African-American,Male,3,0,1
33,0,M,Other,Female,1,0,1
24,1,F,African-American,Male,1,75,1
42,0,F,African-American,Male,1,0,1
30,0,F,Other,Male,0,0,1
26,0,M,Other,Female,0,0,1
28,0,M,African-American,Male,2,6,1
30,0,F,African-American,Male,0,0,1
28,1,F,Other,Male,3,165,0
34,1,F,African-American,Female,5,9,1
38,1,F,Other,Male,3,1,0
27,1,F,African-American,Female,3,3,0
26,0,M,Other,Male,0,1,1
40,1,F,Other,Male,0,8,1
34,1,F,Other,Female,15,3,0
24,0,F,African-American,Female,0,0,1
64,0,M,Other,Male,1,0,1
31,1,M,African-American,Male,3,19,0
23,1,M,Other,Male,4,2,0
38,0,F,Other,Male,0,158,1
36,1,M,African-American,Female,4,1,1
27,0,F,African-American,Female,0,0,1
31,0,F,African-American,Male,0,0,1
37,0,M,African-American,Male,0,2,1
28,0,F,African-American,Male,5,136,0
31,0,M,Other,Male,0,0,1
28,1,F,African-American,Male,2,1,1
49,0,F,Other,Female,8,8,1
24,0,F,African-American,Male,0,0,1
33,1,M,African-American,Male,1,1,1
22,0,F,Other,Male,0,1,1
56,0,F,Other,Female,3,0,1
53,1,M,Other,Male,0,3,1
20,0,M,Other,Male,0,3,1
69,0,M,African-American,Male,22,1,1
24,0,F,Other,Female,2,2,1
33,1,M,African-American,Male,2,-1,1
31,1,F,Other,Male,0,-1,0
31,1,F,African-American,Female,2,0,1
47,0,F,African-American,Male,4,0,1
18,1,F,African-American,Male,4,23,1
30,1,F,African-American,Male,21,0,1
64,0,F,Other,Female,0,0,1
30,1,M,Other,Male,2,5,1
50,0,F,Other,Male,10,0,1
49,0,M,Other,Female,2,82,1
22,1,F,Other,Male,1,1,1
52,0,F,African-American,Female,1,0,1
51,0,M,Other,Male,4,0,1
36,1,F,African-American,Male,26,0,0
37,0,F,African-American,Male,0,0,0
49,0,F,Other,Female,4,3,1
45,1,F,Other,Male,19,1,1
22,1,F,African-American,Male,5,19,0
21,0,F,Other,Female,0,2,1
55,0,F,Other,Male,0,0,1
28,0,M,Other,Male,1,1,1
28,0,F,African-American,Male,5,0,1
41,1,F,Other,Male,2,161,0
41,0,M,Other,Male,0,-1,1
33,0,M,Other,Male,2,21,1
59,1,F,African-American,Male,8,8,0
48,0,F,African-American,Male,1,0,1
35,0,M,African-American,Male,8,8,1
33,1,F,African-American,Male,11,44,1
37,1,M,African-American,Male,11,0,1
49,1,M,Other,Female,2,11,1
21,0,F,African-American,Male,1,1,0
54,0,M,African-American,Male,9,1,1
20,1,F,African-American,Male,0,1,1
61,0,M,Other,Male,1,0,1
23,1,F,African-American,Male,4,0,0
29,1,M,African-American,Male,3,60,0
22,0,F,African-American,Male,1,1,1
46,0,M,Other,Female,0,-1,1
28,0,F,Other,Female,0,0,1
43,1,F,Other,Male,6,9,1
31,1,M,Other,Female,1,1,1
52,1,F,Other,Male,16,11,0
36,1,F,African-American,Male,2,2,1
32,1,F,African-American,Male,6,4,1
29,0,F,Other,Female,0,0,1
27,0,M,Other,Male,3,-1,1
42,0,F,African-American,Male,3,1,1
22,1,F,African-American,Male,1,0,1
24,0,M,Other,Female,0,0,1
32,0,F,African-American,Male,9,0,0
29,0,M,Other,Female,0,-1,1
29,1,F,African-American,Male,7,2,0
29,1,M,African-American,Male,8,0,0
30,0,F,Other,Male,2,1,1
27,0,F,Other,Male,1,0,1
36,1,M,Other,Male,2,1,1
20,1,F,Other,Male,1,15,0
28,1,M,African-American,Male,6,0,1
34,1,F,Other,Male,5,0,1
22,0,F,Other,Female,1,0,1
23,1,F,African-American,Male,0,2,0
50,1,F,Other,Female,2,0,1
33,0,F,African-American,Male,1,1,1
22,0,F,African-American,Male,1,36,0
19,1,M,Other,Male,1,0,1
45,0,F,African-American,Male,16,1,1
36,1,F,Other,Male,26,117,0
28,1,M,African-American,Male,14,20,1
51,0,M,African-American,Male,8,25,1
35,0,F,Other,Male,1,0,1
37,1,F,Other,Male,1,-1,1
53,0,M,Other,Male,0,0,1
58,0,F,Other,Female,0,1,1
35,1,M,Other,Male,5,2,1
20,0,F,Other,Female,0,0,1
54,1,F,Other,Male,2,29,1
59,0,M,African-American,Male,4,0,1
37,0,F,Other,Male,13,1,1
29,1,F,Other,Male,4,3,1
23,0,M,African-American,Male,2,5,1
23,0,F,African-American,Male,1,0,1
28,1,M,African-American,Male,4,0,1
46,0,M,Other,Male,0,0,1
22,1,F,African-American,Male,0,13,1
23,0,F,Other,Male,0,0,1
61,1,M,African-American,Male,4,2,0
31,1,F,African-American,Male,6,0,1
26,1,F,African-American,Male,2,1,0
28,1,F,African-American,Male,6,0,0
54,0,F,Other,Male,0,2,1
61,1,M,Other,Male,3,0,1
33,1,F,African-American,Male,0,37,0
27,1,F,Other,Male,0,47,0
20,1,F,Other,Male,2,21,0
28,1,F,African-American,Male,5,0,1
